NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543P03|Produção industrial de diamantes
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B06|Biologia vegetal
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B07|Biomedicina
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B08|Biometria
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B09|Bioquímica
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421C02|Ciências da vida
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421F01|Farmacologia
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421G01|Genética
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421L01|Limnologia
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421M01|Microbiologia
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421P01|Parasitologia
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421T01|Toxicologia
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421V01|Virologia
2017|4|Ciências, matemática e computação|42|Ciências|422|Ciências ambientais|422C01|Ciências ambientais
2017|4|Ciências, matemática e computação|42|Ciências|422|Ciências ambientais|422P01|Preservação do meio ambiente
2017|4|Ciências, matemática e computação|42|Ciências|422|Ciências ambientais|422S02|Saneamento básico
2017|4|Ciências, matemática e computação|42|Ciências|422|Ciências ambientais|422T01|Tecnologia ambiental
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441A01|Acústica
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441A03|Astronomia
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441C01|Ciência espacial
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441C02|Ciências planetárias
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441F03|Física aplicada
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441O01|Ótica
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442P01|Petrologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q01|Química
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q03|Química de polímeros
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q04|Química industrial
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q05|Química inorgânica
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q06|Química orgânica
2017|4|Ciências, matemática e computação|44|Ciências físicas|442|Química|442Q07|Química tecnológica
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443C04|Ciências da vida marinha
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443G01|Geociência
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443G02|Geodésia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443G03|Geofísica
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443G05|Geografia (natureza)
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443H01|Hidrogeologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443M01|Meteorologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443M02|Mineralogia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443O02|Oceanologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443S01|Sismologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443V01|Vulcanologia
2017|4|Ciências, matemática e computação|46|Matemática e estatística|461|Matemática|461A01|Álgebra
2017|4|Ciências, matemática e computação|46|Matemática e estatística|461|Matemática|461A03|Análise numérica
2017|4|Ciências, matemática e computação|46|Matemática e estatística|461|Matemática|461M02|Matemática aplicada
2017|4|Ciências, matemática e computação|46|Matemática e estatística|461|Matemática|461M03|Matemática computacional (informática)
2017|4|Ciências, matemática e computação|46|Matemática e estatística|461|Matemática|461M04|Matemática industrial
2017|4|Ciências, matemática e computação|46|Matemática e estatística|462|Estatística|462A01|Amostragem (survey sampling)
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812E01|Eventos
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812R01|Recreação e lazer
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812T01|Turismo
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812T02|Turismo e hotelaria
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812V01|Viagens e turismo
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813E01|Esportes
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813F02|Formação de técnicos e treinadores esportivos
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813G01|Ginástica
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813T01|Treinamento físico (esportes)
2017|8|Serviços|81|Serviços pessoais|814|Ciências domésticas|814C01|Ciências domésticas
2017|8|Serviços|81|Serviços pessoais|814|Ciências domésticas|814E01|Economia do consumidor
2017|8|Serviços|81|Serviços pessoais|815|Serviços de beleza|815C01|Cosmetologia
2017|8|Serviços|81|Serviços pessoais|815|Serviços de beleza|815M01|Massagem (estética)
2017|8|Serviços|81|Serviços pessoais|815|Serviços de beleza|815T01|Terapias da beleza
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840A01|Aviação
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840C01|Ciência náutica
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840C03|Controle de tráfego aéreo
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840N01|Navegação aérea
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840O01|Operação de aeronaves
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840O02|Operação de ferrovias
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840O03|Operação de navios
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840O04|Operação de veículos rodoviários a motor
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840O05|Operações de correio / serviços postais
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840T01|Tecnologias de navegação
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840T02|Transportes
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840V01|Vôo e navegação
2017|8|Serviços|85|Proteção ambiental|850|Proteção ambiental (cursos gerais)|850C02|Conservação/proteção ambiental
2017|8|Serviços|85|Proteção ambiental|850|Proteção ambiental (cursos gerais)|850G01|Gestão ambiental
2017|8|Serviços|85|Proteção ambiental|850|Proteção ambiental (cursos gerais)|850R01|Recursos naturais
